Description,Market,Names,No_Stage_Amount,No_Stage_Date,Pitch,Seed_Amount,Seed_Date,Series_A_Amount,Series_A_Date,Series_B_Amount,Series_B_Date,Series_C_Amount,Series_C_Date,Series_D_Amount,Series_D_Date,Stage
,Health and Insurance,Bloom-Health,,,,,,"$5,000,000","Jan  7, 2010","$7,500,000","Oct 22, 2010",,,,,Series B
"VoltDB is more than just the world's fastest OLTP database. It's a way of thinking about application design that shatters conventional wisdom about how fast you can accept data, decision and analyze it, and how far and seamlessly you can scale. Based on groundbreaking work at the atomic level on how databases work (or don't), VoltDB is in a league all by itself — enabling you to make real-time high value decisions that sell products, deliver advertising, approve loans, optimize your revenue, understand social graphs...or change the world.",Utilities,VoltDB,,,The world's fastest OLTP database,,,"$5,000,000","Sep  7, 2010","$5,000,000","Dec 11, 2012","$8,000,000","Mar 18, 2014",,,Series B
"New technology advancements in analytics, big data, mobility, social and cloud computing are radically changing the way businesses interact, operate and compete. For organizations to grow, they must transform their business and its underlying technology infrastructure to move faster, innovate, and stay connected with their customers, suppliers and partners – all while maintaining necessary security standards.At the center of this change is the new data center; transforming to be highly distributed and software-defined, and scaling at the speed of the business – to be more agile and efficient. Unfortunately, relying on traditional security won’t get you… · More there. The traditional, well-defined perimeter is long gone. Assets and data are scattered everywhere, both in and outside the enterprise, and assets are highly mobile. The value of perimeter-based approaches continues to shrink. It’s not enough to build a better perimeter – security must be done differently in this new world.",Software,vArmour-Networks,,,,,,"$6,000,000","Jan 15, 2013","$15,000,000","Dec  1, 2013","$21,000,000","Aug 20, 2014",,,Series D
,Software,Infineta-Systems,,,,,,"$15,000,000","May  7, 2010","$15,000,000","Jun  6, 2011",,,,,Series B
,Networking,Hotelicopter,,,,,,"$3,500,000","Nov 17, 2008","$1,500,000","Mar 31, 2011",,,,,Series A
"Founded in 2008 by technology experts, Credorax is one of the world's first hi-tech companies to become a Principal Member of Visa Europe and MasterCard and a financial institution licensed under the PSD (Payment Services Directive).An acquirer specifically focused on the e-commerce arena, Credorax introduces an entirely new breed of acquiring — Smart Acquiring — to PSPs, ISOs and online merchants.",Enterprise Software,Credorax,,,Smart acquiring solutions,,,Unknown,"Sep 19, 2011",,,"$40,000,000","Aug 27, 2013",,,Series D
,Risk Management,Applied-Microstructures,"$2,300,000","Jul  7, 2010",,,,,,"$8,500,000","Apr  7, 2005",,,,,Series A
,Curated Web,Picooc-Technology,,,,,,"$4,000,000","Jan  1, 2014","$21,000,000","Feb 14, 2014",,,,,Series A
Pixable is a mobile application and company headquartered in New York City. The application aggregates and ranks photos across different online photo repositories allowing users access all the photos connected to them in one location,Mobile Video,Pixable,,,,,,"$2,500,000","Nov 10, 2010","$3,600,000","Apr 22, 2011",,,,,
,Travel,Id90t,,,,,,,,"$3,000,000","Jun 11, 2013",,,,,Series B
,-,Ember,"$81,000,000","Jan  1, 2008",,"$5,000,000","Jan 18, 2010",,,"$20,000,000","Oct 17, 2002",,,,,-
,Connected Gadgets,Nanomech,"$1,000,000","Mar 18, 2014",,,,,,"$12,000,000","Sep 17, 2014",,,,,Series B
,Advertising,Selectable-Media,,,Unlocking Content Through Advertising,,,"$2,000,000","Oct 19, 2012","$2,600,000","Nov 24, 2008",,,,,Series B
,Hardware + Software,Revolt-Technology,,,,,,,,"$2,900,000","May 10, 2011",,,,,Series B
"Mass spectrometry is a well-established analytical technique used in virtually every chemical analysis laboratory for limitless applications from safety & security, to food science, biotechnology, clinical diagnostics and controlling industrial processes.  Conventional laboratory mass spectrometry setups are designed to accommodate a wide variety of often-disparate needs, but unfortunately this flexibility leads to complexity. And complex systems are large, expensive, and tricky to operate and maintain.We are building ridiculously small, and elegantly simple purpose-built products based on remarkable mass spectrometry technology. These systems are designed for… · More specific applications in security, biotechnology, diagnostics and others, bringing MS capability from the centralized lab to the point of need.",Video Editing,908-Devices,"$2,600,000","Sep  9, 2014",Elegant analytical tools from mass spectrometry,,,"$8,100,000","Sep  5, 2012","$7,000,000","Aug 27, 2013",,,,,-
"Mobile TV solution by Apalya Technologies Pvt. Ltd. India. Currently the service live with Idea Cellular, BSNL, MTNL, Vodafone India, and many others.",-,Apalya,,,,,,"$3,000,000","Oct  1, 2009","$7,500,000","Jan 12, 2011","$8,000,000","Dec  1, 2012",,,Series A
"ScienceLogic simplifies data center, cloud, system, and network monitoring with their all-in-one IT operations",Software,ScienceLogic,,,,,,,,"$15,000,000","Apr 23, 2012",,,,,Series B
"About ZOZI®:ZOZI’s mission is to provide best in class online booking software for activity businesses and inspire people to experience the world.For tour, activity and event businesses, ZOZI Advance® is the fastest growing online reservation, payment and customer management software used by thousands of businesses across nearly 90 countries.  For people who crave new experiences, ZOZI.com helps them discover and book thousands of activities and travel getaways, get the gear they need and find inspiring articles by ZOZI Gurus® and experts – 100% satisfaction guaranteed.5 million people have used ZOZI to discover and book things to do around the… · More globe, purchasing nearly half a billion dollars in activities.ZOZI headquarters are in San Francisco, with offices in Vancouver, Canada.  Investors include Virgin Group founder Sir Richard Branson and Pritzker Vlock Ventures.Get Out There™ at www.zozi.com/advance and www.zozi.com.",,ZOZI,,,"SaaS reservation system + consumer marketplace for tour, activity and event businesses","$1,300,000","Aug  1, 2008","$3,000,000","Aug 30, 2010","$10,000,000","May 15, 2011","$30,000,000","Jul  1, 2015",,,
,Hardware + Software,Vantos,"$435,000","Jul 28, 2011",,,,"$6,600,000","Jul 22, 2005","$10,600,000","Jun  1, 2008",,,,,-
,Software,Brand-Affinity-Technologies,,,,,,,,,,"$20,000,000","Aug 24, 2010","$7,500,000","May  2, 2012",-
"The BiOM foot and ankle prosthetic launches the Bionic Age by improving amputee stability, enabling increased speed with the same amount of energy expended",Finance,iWalk,"$3,100,000","Jul  3, 2012",,,,,,"$20,000,000","Oct 21, 2009","$15,000,000","Jan 13, 2011","$17,000,000","Sep 13, 2012",Series D
,Startups,Tumri,"$10,000,000","Jun 22, 2009",,"$5,000,000","Jun 22, 2009","$6,000,000","Jan  1, 2005","$10,000,000","Jun  1, 2007",,,,,Series A
,Health Care,Therative,,,,,,,,,,"$9,000,000","May 17, 2007",,,Series C
,Software,Ch-Mack,"$377,000","Feb 12, 2014",,,,,,,,"$3,000,000","Oct  1, 2007",,,-
"Dwolla allows you to exchange funds through social networks, merchants, or virtually anyone else at a maximum cost of 25 cents per transaction. The platform can effectively be built into any 2 way communication device and or integrated on the backend of virtually any software capable of securely communicating the Dwolla. Cell phones, computers, parking meters, hybrid closed loop card networks, NFC integration, P2P banking products,  etc etc. The platform doesn't inherently lock us out of integration with other platforms. Integration with other payment products / services as well is possible. Demo: … · More href=""http://www.youtube.com/watch?v=LOJbhMYDVO0"" rel=""nofollow"" target=""_blank"">http://www.youtube.com/watch?v=LOJbhMYDVO0",Online Shopping,Dwolla,"$55,000","Mar  3, 2010",The Internet's payment network,"$250,000","Nov 11, 2009","$1,000,000","Nov 11, 2010","$5,000,000","Feb  2, 2012","$16,500,000","May  1, 2013","$9,700,000","Sep 30, 2014",Series B
"Philz Coffee focuses on making the best drip coffee. Each cup is handcrafted and made one cup at a time at our retail stores served by friendly Baristas dedicated to customizing your cup of love. We don't do espresso, lattes, cappuccinos... We believe in being great at a few things - Handcrafted Drip Coffee & Customer Service.",News,Philz-Coffee,,,A handcrafted cup of love ,,,"$15,000,000","May  1, 2013","$15,000,000","Feb 18, 2015",,,,,Series A
,Peer-to-Peer,PeerApp,"$8,000,000","Sep 20, 2011",,,,"$3,000,000","Jan  1, 2008","$3,500,000","Jan 16, 2005",,,,,Series B
,Curated Web,PivotLink,"$2,000,000","Mar  1, 2013",,,,"$3,500,000","Feb 15, 2007","$9,000,000","Oct 10, 2008","$10,000,000","Feb 10, 2009",,,Series C
,Health Care,Dune-Medical-Devices,,,,,,,,"$12,500,000","Jun 28, 2006","$21,000,000","Jun 26, 2014",,,-
,Software,Compliance-360,"$1,100,000","Feb 26, 2009",,,,,,"$2,200,000","May  2, 2007",,,,,Series B
"Treato distills the collective patient voice from blogs and forums using Natural Language Processing, Big Data and a proprietary patient language knowledge",Biotechnology,Treato,,,,,,,,"$14,500,000","Apr 23, 2013",,,,,Series A
Vasona Networks works with global mobile network operators to deliver better subscriber experiences over better utilized network resources.,Hardware + Software,Vasona-Networks,,,,,,"$10,000,000","May  1, 2011","$12,000,000","Mar 19, 2013",,,,,Series A
,,AdKeeper,,,,,,"$8,000,000","Sep 15, 2010","$35,000,000","Jan  3, 2011",,,,,
"Keylight makes it easier to demonstrate a comprehensive governance, risk management and compliance program.",Information Security,Lockpath,,,,,,"$2,000,000","Jun  8, 2011","$6,000,000","Jul 16, 2012",,,,,Series B
,Semiconductors,Cardiox,"$3,200,000","Apr  7, 2014",,,,,,"$786,300","Aug  5, 2009",,,,,Series B
,Operations ,Posterous,,,,"$725,000","Dec  1, 2008","$4,400,000","Mar  5, 2010","$5,000,000","Sep 16, 2011",,,,,Series A
"Nanigans is pioneering the next evolution in media buying with its predictive lifetime value platform for performance marketing. Transforming customer acquisition and remarketing at scale, Nanigans’ Ad Engine™ is the only SaaS platform that measures, predicts and optimizes ad spend for lifetime ROI across desktop and mobile.",SaaS,Nanigans,,,Find profitable customers on Facebook,,,"$3,000,000","Aug  9, 2011","$5,800,000","Apr 23, 2013",,,,,Series A
,Kids,Dizzywood,,,,,,"$1,000,000","Feb  7, 2008","$1,000,000","Aug 26, 2008",,,,,Series B
"GumGum is the premium in-image advertising platform for publishers and brands. Reaching millions of consumers as they actively view images across hundreds of premium websites, GumGum serves contextually relevant ads that yield far higher engagement than those of traditional display advertising units. In addition to helping advertisers reach highly targeted audiences in a brand-safe environment, GumGum gives publishers a new way to earn revenue by overlaying rich media display advertising and video on the photos within their sites.",,GumGum,,,First and largest in-image advertising platform,"$225,000","Dec  1, 2007","$1,000,000","Jul 21, 2008","$2,600,000","Jul  8, 2009","$7,000,000","Oct 24, 2011",,,
,-,GMI,,,,,,,,,,"$35,000,000","Jun  5, 2006",,,Series C
"HR software, chasing down the best ideas, to help employees and employers.",Product Management,ADP,,,Transforming a world of HR pain into useful tools and meaningful experiences,,,,,,,"$2,000,000","Dec 30, 2005",,,Series C
"We provide a complete portfolio of measurement services covering the digital and hardware ecosystems across various platforms, enabling clients like Cisco and EA to access insights through a single-source media measurement methodology.",Big Data,Verto-Analytics,,,The leading multi-screen media measurement provider,,,"$5,400,000","Apr 24, 2014","$2,400,000","Sep 16, 2014",,,,,Series A
"Restorando.com is the leading online reservation website for Restaurants in Latin America. The company was started by Frank Martin & Franco Silvetti in October 2010, aiming to address the lack of efficiency in the reservation process at Restaurants. The company has operations in 14 cities in 7 countries in Latin America, and is consolidating online reservations for Restaurants in the region.",Hardware + Software,Restorando,,,Restorando is the leading online reservation platform for restaurants in Latin America.,,,"$3,200,000","Feb 22, 2012","$13,300,000","Aug 16, 2013",,,,,-
,Online Shopping,BuyVIP,,,,,,,,,,"$20,000,000","Apr  3, 2009",,,Series C
"**Digital Reef Provides The Fastest Path To Legal Review. Award Winning Discovery Software, eDiscovery Software, Electronic Discovery Services and e-Discovery Solutions.",Legal,Digital-Reef,,,,,,,,"$10,000,000","Oct  1, 2008",,,,,Series B
Dobleas - Cookie-less Mobile DSP and DMP - Cross-Device Targeting,Advertising,Dobleas,,,,,,"$4,000,000","Feb 22, 2002","$5,400,000","Mar  7, 2013",,,,,Series A
,Software,RiverGlass,"$2,400,000","Jan 21, 2008",,,,,,"$4,000,000","Feb  5, 2007",,,,,Series B
,Software,Vdopia,,,,"$500,000","Sep 15, 2008","$4,000,000","Oct 12, 2009","$3,400,000","Dec 13, 2012",,,,,-
,Biotechnology,Viamet-Pharmaceuticals,,,,,,"$4,000,000","Jun  7, 2007","$25,000,000","Jul  7, 2009",,,,,Series A
Citrix XenMobile is a mobile device and app management solution that provides total mobile freedom for employees with full IT control.,Consulting,Zenprise,"$130,000","Jan  1, 2012",,,,,,"$11,000,000","Jun  6, 2005","$4,500,000","May  1, 2007",,,-
,Data Security,Zyomyx,"$7,500,000","Mar 26, 2014",,,,,,"$12,000,000","Jun 30, 2013",,,,,Series B
,Games,Game-Trust,,,,,,,,"$9,000,000","Nov 15, 2005",,,,,Series B
,Biotechnology,UUCun,"$50,000,000","Aug  1, 2013",,,,,,"$2,000,000","Sep  1, 2011","$8,000,000","Aug  1, 2012",,,-
,Social Television,Mu-Dynamics,,,,,,"$4,000,000","Jan  1, 2005","$10,000,000","Jun 27, 2006","$10,000,000","May 19, 2008",,,Series D
,Ediscovery,Collarity,"$1,300,000","Oct 17, 2011",,,,,,"$7,800,000","Feb  1, 2008",,,,,Series B
,Biotechnology,Rapport,,,,,,"$7,000,000","Jul 21, 2005",,,"$18,500,000","Oct 23, 2007",,,Series A
"The RAIL, is a patented digital bill folder that enables restaurant customers to self-swipe credit or debit cards at the table.  At the touch of a finger, guests can split a bill, auto-calculate tips, and email a receipt to themselves or to colleagues. The Rail provides the restaurant with a unique marketing opportunity to engage with the diner. Rail devices provide an unprecedented level of credit card theft protection for consumers while enabling PCI compliance at each restaurant.",Restaurants,Viableware,"$956,100","Aug 30, 2011",Secure pay-at-the-table device for restaurants.  ,,,,,"$6,500,000","Jul 23, 2013",,,,,
,-,Trireme-Medical,"$18,000,000","Nov 27, 2012",,,,,,,,"$15,500,000","Oct 16, 2007","$17,000,000","Oct 11, 2010",Series A
,-,Agnitio,"$515,000","May 30, 2006",,,,,,"$6,890,000","Mar 10, 2009",,,,,
,-,Orbis-Education,"$24,300,000","Sep  5, 2012",,,,,,"$8,000,000","Jan 19, 2010",,,,,
,,Aryaka-Networks,"$9,166,500","May 22, 2009",,,,"$14,000,000","Sep 21, 2010","$15,000,000","Jun  7, 2011","$25,000,000","Jul 16, 2012",,,
,Big Data Analytics,Char-Software,"$14,700,000","Feb 11, 2014",,,,"$700,000","May 11, 2010","$5,500,000","Sep 11, 2012",,,,,Series B
,Clean Technology,Cervel-Neurotech,"$14,100,000","Apr 22, 2013",,,,,,"$7,500,000","Feb 17, 2010",,,,,Series C
,Events,Redfern-Integrated-Optics,"$7,500,000","May 13, 2008",,"$3,000,000","Mar 26, 2010",,,,,"$8,400,000","Dec 13, 2005",,,-
,Biotechnology,Tolera-Therapeutics,"$250,000","Sep 17, 2014",,,,,,"$5,500,000","Oct 16, 2012",,,,,-
"Bizible closes the loop between online marketing and sales data in Salesforce, so companies can optimize by ROI and answer one key question: ""What's working?"" It's our passion and our customers call it magic.",iPhone,Bizible,,,B2B marketing attribution,"$18,000","Aug  1, 2012","$1,700,000","Nov 26, 2012","$8,000,000","Aug 26, 2014",,,,,Seed
,Security,Certivox,"$1,460,000","Mar 28, 2011",,Unknown,"Mar  1, 2011",Unknown,"Nov  1, 2011","$8,000,000","May  1, 2014",,,,,-
"HouseTrip is an award-winning start-up making hotels a thing of the past Founded by CEO Arnaud Bertrand and CFO Junjun Chen, HouseTrip.com went live in January 2010. We're now one of the world's largest holiday rental booking sites, in 2012 voted the #2 start-up in all of London, and are growing all the time. For the price of a tiny, soulless hotel room, our Guests are discovering that instead they can have an entire house, or apartment, or castle, or boat... We have over 200,000 quality properties in thousands of destinations around the globe - many with unbiased reviews from previous Guests - and our list is growing every day.… · More Renting with HouseTrip is safe, because Guests use their debit/credit card to pay online with our secure system - no more risky money transfers. Plus, we hold back on paying the Host until two days after you've checked in for added security. HouseTrip has offices in the UK (London), Portugal (Lisbon) and Switzerland (Lausanne).",Logistics,HouseTrip,,,Book holiday rentals online,,,"$2,700,000","Apr  5, 2011","$17,000,000","Nov 21, 2011","$40,000,000","Oct  9, 2012",,,Series B
"As the global leader in omnichannel personalization, RichRelevance partners with the most innovative brands and retailers. Our fully integrated product suite and proven, real-time infrastructure were built from the ground up to enable brands and retailers to deliver products, messages, and experiences in a way that is relevant, meaningful and memorable to consumers across every channel.",,Richrelevance,"$20,000,000","Nov 27, 2013",,Unknown,"Aug  1, 2007",,,"$4,200,000","Apr  8, 2008",,,"$12,000,000","May  5, 2010",
,Hardware + Software,Viewglass,,,,,,,,"$60,000,000","Jun 18, 2013",,,,,Series B
,Games,BinOptics,"$13,300,000","Dec 15, 2011",,"$390,883","Dec 29, 2009",,,"$10,000,000","Feb 10, 2005","$6,000,000","Nov 15, 2006",,,
,Cleaning,EveryScape,,,,,,"$4,500,000","Jan  1, 2005","$7,000,000","Mar  5, 2008","$6,000,000","Feb 18, 2010",,,Series A
,Events,Mendocino-Software,"$1,700,000","Jan  1, 2007",,,,,,"$18,000,000","Sep 12, 2005",,,,,Series A
,Hardware + Software,Varentec,"$4,000,000","Sep 24, 2014",,,,"$7,700,000","Jan 18, 2012","$11,100,000","Jun 12, 2014",,,,,-
,Games,NormOxys,"$600,000","Nov 21, 2011",,,,,,"$17,500,000","May 24, 2010",,,,,-
"Hipmunk is a consumer-oriented online travel company that focuses on the visual organization of flight search results. Hipmunk simplifies travel reservations by giving flights and hotels agony and ecstasy ratings, and even airbnb results and train routes.",,Hipmunk,,,"The fastest, easiest way to plan travel","$1,000,000","Oct  5, 2010","$4,200,000","Jan 25, 2011","$15,000,000","Jun 12, 2012","$20,000,000","May 30, 2014",,,
,Security,Lockdown-Networks,"$3,100,000","Mar  2, 2006",,,,,,"$5,500,000","Feb 25, 2005",,,,,Series B
"iMoney is Malaysia's #1 financial services comparison website. Compare and apply for housing loans, personal loans, credit cards, car insurance online.",Real Estate Investors,iMoney-Group,"$500,000","Jun  4, 2013",,,,"$2,000,000","Oct 24, 2013","$4,000,000","Sep 25, 2014",,,,,-
,Software,Interactive-TKO,,,,,,"$5,100,000","Jan  3, 2006","$7,500,000","Jun 11, 2007",,,,,Series A
,,Jiff,"$1,000,000","Dec  1, 2010",Health Care Marketplace,,,"$7,500,000","Mar 12, 2012","$18,300,000","Sep 23, 2014",,,,,
"Jana enables free apps to be truly free in emerging markets.Through Jana's mCent app, members discover and try a world of new apps without incurring any data charges. Free Internet connectivity is made possible through partnerships with 311 mobile operators. Over 27 million users of the mCent app and hundreds of clients, including Twitter, Amazon, and Tencent, have benefited from 3.3 billion megabytes of app usage driven by Jana’s platform.For more information, visit jana.com.",Application Platforms,Jana,,,Mobile advertising in emerging markets.,,,"$8,500,000","Apr 12, 2011","$15,000,000","Jul 19, 2013",,,,,
,Software,Syndera,,,,,,,,"$10,000,000","Jun 20, 2005",,,,,Series B
StrongView email marketing and cross-channel marketing solutions give enterprise marketers a stronger view of their customer and a stronger view of how to engage them.,Health and Insurance,StrongMail,"$2,000,000","Mar 20, 2009",,,,"$6,000,000","Mar 15, 2004","$9,500,000","Jan 23, 2006","$13,000,000","Apr 23, 2007","$7,600,000","Jul 13, 2009",Series B
,Biotechnology,Pluck,,,,,,"$1,500,000","Jan  1, 2004","$8,500,000","Oct  6, 2004","$7,000,000","Nov 14, 2006",,,Series A
,Hardware + Software,SocialWare,"$355,500","May  9, 2014",,,,,,,,"$7,000,000","Aug 16, 2011",,,-
,,GuardianEdge-Technologies,,,,"$3,500,000","Jul 23, 2007","$6,000,000","Jun  6, 2005","$10,000,000","Jul 23, 2007",,,,,
,Biotechnology,Facet-Solutions,"$2,100,000","Apr 22, 2010",,,,,,"$16,500,000","Dec 13, 2005",,,,,Series A
,Software,Konaware,,,,,,,,,,"$2,000,000","Jul  6, 2006",,,Series C
,Intellectual Asset Management,Clearside-Biomedical,"$6,000,000","May 12, 2014",,,,,,"$16,000,000","Sep  2, 2014",,,,,Series B
"Retrofit is the data-driven weight loss company. Created by the nation’s leading obesity experts and using groundbreaking internet technology, we intend to deliver the industry’s best outcomes. Obesity is America's #1 healthcare crisis. Because diets do not work, Retrofit has created a 12-month online behavior modification program. Client feedback has been exceptional, with the average client losing 1.2 pounds per week.",Electronics,Retrofit,,,"Expert-led, data-driven weight loss.","$2,700,000","Mar 15, 2012","$8,000,000","Nov 14, 2012","$5,000,000","Dec 20, 2013",,,,,Series A
,Software,High-Throughput-Genomics,"$1,700,000","Aug  6, 2010",,,,,,,,"$4,300,000","Jul 23, 2009","$15,700,000","Feb 23, 2011",-
,Health Care,Interrad-Medical,"$1,900,000","Jun 29, 2010",,,,,,,,"$10,000,000","Oct  4, 2011","$1,500,000","Nov  8, 2012",-
,Genetic Testing,NextGxDx,,,Genetics marketplace for docs,"$1,000,000","Mar  5, 2013",,,"$2,949,029","Mar  5, 2014",,,,,
,Consumer Electronics,Marseille-Networks,"$2,500,000","Dec 18, 2009",,,,,,"$4,500,000","Apr  5, 2011",,,,,-
,Health Care,Impel-Neuropharma,"$2,600,000","Nov 27, 2013",,,,,,"$500,000","Oct 21, 2011",,,,,-
,Music,Reflektion,"$1,500,000","Nov  1, 2012",,,,"$3,300,000","May 20, 2013","$8,000,000","Mar  4, 2014",,,,,Series A
"Kit Check allows hospitals to track consumables starting with kitted medications.Every hospital has scores of kits that are used for emergency situations and everyday surgeries. State board of pharmacies require these kits to be checked by pharmacy technicians and double-checked by registered pharmacists, costing the pharmacy about 30 minutes per kit.Kit Check automates the processing of kits by applying RFID tags to medications. With Kit Check, hospitals can process a kit in seconds.",Teachers,Kit-Check,,,Automated hospital pharmacy kit tracking. Reduce kit processing time by more 90%.,"$100,000","Nov  1, 2012","$10,400,000","Jul  1, 2013","$12,000,000","Jan 12, 2015",,,,,-
"ConjuGon’s first product (C-1205) significantly reduces the incidence of urinary tract infections (UTIs) in catheterized patients.  UTIs are the most common infection that patients develop while in hospital and are responsible for 13,000 deaths in the U.S. each year.  C-1205 has been successfully tested in 220 patients and has been found to be very safe and highly effective.  Additional testing in human patients has been approved by the FDA and we hope to begin those studies later this year.ConjuGon’s second product (GN-4474) involves fundamentally new antibacterial technology that can effectively destroy multi-drug resistant bacteria.  GN-4474 targets and… · More destroys all multi-drug resistant Gram-negative bacteria we’ve tested, including all strains of Pseudomonas, Acinetobacter, Klebsiella, Salmonella, etc.  We have discussed the project with the FDA, and plan to begin clinical trials in patients early next year.",Bio-Pharm,ConjuGon,"$90,000","Aug 25, 2002",Anti-Infective Therapies,"$1,100,000","Dec 30, 2002","$2,600,000","Dec 12, 2005","$2,000,000","May  1, 2010",,,,,
,App Stores,Aldea-Pharmaceuticals,"$2,000,000","Apr  1, 2013",,,,"$11,500,000","Nov 18, 2013","$24,000,000","Aug 25, 2014",,,,,Series A
,Clean Technology,SecureWorks,"$31,500,000","Jul 24, 2009",,,,,,"$20,000,000","Nov 16, 2000",,,,,Series C
,Heathcare,Cellscape,"$1,100,000","Jul  1, 2012",,,,"$1,600,000","Dec  1, 2010","$9,300,000","Feb  1, 2012",,,,,-
,Mobile,Paragon-Wireless,,,,,,,,"$7,000,000","Nov 30, 2005",,,,,Series B
,Medical Devices,X1-Technologies,"$2,200,000","Feb 25, 2014",,,,,,"$10,000,000","Apr 21, 2005",,,,,
Breakthrough cancer therapies: directing the immune system to eliminate tumor cells.,Consulting,Affimed-Therapeutics,"$14,000,000","Sep  2, 2014",,,,,,,,"$26,500,000","Apr 29, 2010","$20,200,000","Oct  8, 2012",-
"Jivox is a complete platform for interactive video advertising from creative customization to campaign execution and analytics. The Jivox technology enables brand advertisers, digital agencies and publishers to deliver highly engaging video ads powered by interactive and social sharing widgets.",Cloud Data Services,Jivox,"$8,200,000","Nov  1, 2011",Interactive video advertising platform,"$2,700,000","Mar 10, 2008","$10,700,000","Jun 16, 2008",,,"$5,800,000","Feb  4, 2014",,,-
,Biotechnology,Veracyte,"$15,000,000","Oct  1, 2012",,,,,,,,"$28,000,000","Jun 28, 2013",,,-
,Biotechnology,Amaranth-Medical,,,,,,,,"$20,000,000","Oct  8, 2013",,,,,Series B
,Nanotechnology,Cima-NanoTech,"$10,000,000","Mar 31, 2014",,,,,,,,"$15,000,000","Mar  9, 2011",,,Series C
"Surf Air is an all-you-can-fly private air travel membership that provides business and leisure travelers with exclusive, hassle-free air travel, saving valuable time and money. The company provides first-class service on executive aircraft to and from convenient local airports in the San Francisco Bay Area, Santa Barbara and Los Angeles metro area, with extended service to additional locations to follow. Operating out of local mid-sized airports, Surf Air offers an affordable and sophisticated travel experience for frequent regional travelers.",Startups,Surf-Air,"$65,000,000","Aug  7, 2014",All-you-can-fly private airline,,,"$3,890,000","Jun  6, 2012","$5,000,000","Dec 20, 2012",,,,,
,SaaS,Channelinsight,,,,,,,,,,"$10,000,000","Apr 20, 2011","$3,300,000","Apr  4, 2012",Series C
Allowing owners to sell their home in a few clicks.• Simple: A transparent and simple sales process.• Certain: Full certainty on the price and close date.• Fast: Receive an instant offer online and funding in as soon as three days.,,Opendoor,,,Liquidity for Residential Real Estate,,,"$9,950,000","Jul  7, 2014","$20,000,000","Feb 26, 2015",,,,,
,Biotechnology,Boulder-Wind-Power,,,,,,"$8,000,000","Feb  3, 2011","$35,000,000","Sep 19, 2011",,,,,Series C
,Internet Marketing,ClickFuel,"$2,500,000","May  7, 2010",,,,,,"$4,000,000","Aug  9, 2012",,,,,-
,Mobile,Basho-Technologies,"$11,500,000","Jul 17, 2012",,,,,,,,"$4,700,000","Apr  9, 2009","$7,500,000","Feb  8, 2011",Series B
,-,Medio,,,,,,,,"$30,000,000","Nov  1, 2006",,,,,Series B
,Biotechnology,Sierra-Surgical-Technologies,,,,,,"$7,100,000","Aug 15, 2007","$14,500,000","Jul 27, 2008",,,,,Series A
,,Recyclebank,"$28,000,000","Nov  1, 2009",,,,"$13,100,000","May  9, 2007","$30,000,000","Mar  1, 2008","$14,000,000","Feb 22, 2011",,,
"Crowd Control, Lotame's unifying data management platform, collects and organizes audience data segments.",Jewelry,Lotame,"$2,000,000","Mar 27, 2014",,,,"$10,000,000","Feb 14, 2008","$13,000,000","Aug 19, 2008","$11,000,000","Dec  6, 2010","$15,000,000","Mar  5, 2014",Series A
,Career Planning,cFares,"$1,500,000","Jan  1, 2006",,,,"$4,500,000","Jul 23, 2007","$7,600,000","Nov 14, 2008",,,,,-
"ZEFR provides solutions for professional content owners on YouTube and has built a premium network that brings together the largest and most diverse collection of movies, television, music and sports content. With more than 700 million monthly views after only 10 months on the platform, ZEFR is the fastest growing YouTube partner. They are the dominant company in the movie category on YouTube and have partnerships with six major Hollywood studios along with several prominent independents.",,ZEFR,,,"Legal movie, sports, TV, and music clips.",,,"$3,000,000","Nov 11, 2010","$7,000,000","Jul  7, 2011","$18,500,000","Aug 15, 2012",,,
"We are a Food Technology Company and we have created a new process using gourmet fungi that transforms agricultural products to improve their taste, value and nutritional characteristics.  Our patent pending process is a 100% natural, non-GMO, non-chemical, bio-process leveraging gourmet mushrooms to remove targeted compounds such as bitterness in over 400 agricultural products eliminating the need for masking ingredients such as sugar. We call our process MycoSmooth.Our MycoSmooth process is novel and industry disruptive.  Our process is a margin enhancer and a category grower, as taste testing with people with our coffee, chocolate, teas and Stevia feel we are… · More unique in that we actually remove a taste defect rather than mask it with it sugar.   Our process eliminates unnecessary calories and can have a significant impact on reducing obesity.  We are in taste tests with some of the largest food and beverage companies in the world.  We have filed 14 patents on our approach.",Disruptive Models,MycoTechnology,,,We transform agricultural products such as coffee and chocolate enhancing their value.,"$1,050,000","Feb 21, 2014",,,Unknown,"Feb 19, 2014",,,,,
,Biotechnology,MicuRx-Pharmaceuticals,,,,,,,,"$25,000,000","Aug 22, 2013",,,,,Series B
,Productivity Software,myDocket,,,,,,"$3,600,000","Mar  6, 2013","$1,000,000","Jun  9, 2014",,,,,Series A
,Console Gaming,Firm58,,,,,,"$3,700,000","Apr  4, 2007","$8,500,000","May  1, 2008","$7,000,000","Jun  3, 2010",,,-
,Biotechnology,BLiNQ-Networks,"$10,000,000","Sep 19, 2012",,,,"$7,400,000","Feb  7, 2011","$15,100,000","Sep  8, 2014",,,,,Series A
